genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group,type
Pik3r5,117.3565228050164,22.813458774342106,2.2510681618806943,10.134503770548735,3.883402631038915e-24,5.822116713765267e-22,2,Significant
Wfdc21,113.61985354607968,19.227147821324802,2.5574173832463294,7.518189227648982,5.5540079031363154e-14,3.382737938503962e-12,2,Significant
Itgb3,47.580684628531465,20.860524805577853,2.7408661558805387,7.610924291513293,2.7214261908294293e-14,1.7680198819755193e-12,2,Significant
Tent4a,53.084778200150126,21.587565199670557,1.950968857314763,11.065048587901519,1.8536239227944077e-28,4.515891281907876e-26,2,Significant
Dnah12,44.335157493924896,21.27359161090282,1.8916307956538432,11.246164769457346,2.4188254230615973e-29,7.857151249245089e-27,2,Significant
Mtrf1,129.4738886724494,22.68389225239314,2.0074839319127182,11.299663171291273,1.3172224743627688e-29,5.134533205066073e-27,2,Significant
Xdh,86.21576898229377,20.1437906689414,2.18333371805023,9.226162039456932,2.805026780716525e-20,2.484998725280231e-18,2,Significant
Zfp946,9.471928531559783,20.744930616392804,2.606042557755192,7.960319203022607,1.7159601944696365e-15,1.2863101611620469e-13,2,Significant
Trem1,102.3173426451508,19.99649278456275,2.5085783711705965,7.971244994523189,1.570837490031221e-15,1.2246249072283396e-13,2,Significant
B430306N03Rik,3.8720335256486864,16.661636176780426,2.176197025098648,7.656308681896642,1.913534706683907e-14,1.2860272908023913e-12,2,Significant
Lbh,9.506538076789171,18.880244667190258,2.504915243267749,7.537278843239551,4.7987950184630846e-14,3.0170488680595327e-12,2,Significant
Galm,87.21458424068982,18.341336052052924,2.5052445314074085,7.32117596590423,2.4580725847444313e-13,1.4090539610784989e-11,2,Significant
Nrg2,1002.4697288574088,9.394362718070703,1.292187142535056,7.270125517299706,3.591536241575556e-13,1.999972609951645e-11,2,Significant
Pmaip1,59.01264303163577,21.523756272040256,2.601458331153164,8.273727091565327,1.298351564160467e-16,1.1002118254559784e-14,2,Significant
Dclre1a,134.95475747208354,22.38015083613031,2.0250713772714106,11.051536793871145,2.1549394606249153e-28,4.666641120842177e-26,2,Significant
